Division,Make,MasterCollection,Collection,Classification,SubClassification,SubSection,Type,Gender,DesignNumber,Jewellery
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0770,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0772,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0009,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0024,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0031,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0041,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0052,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0054,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0063,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0084,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0091,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0093,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0101,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0131,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0168,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0169,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0170,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0174,NECKLACE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,FANCY,SHORT,LADIES,RGROS0175,NECKLACE
